fqn,cmos_item,image_link
SHAPE/Cashmere & Wool,B2M3H,http://www.neimanmarcus.com/product_assets/B/2/M/3/H/NMB2M3H_mk.jpg
STYLE/Coats,B2M6R,http://www.neimanmarcus.com/product_assets/B/2/M/6/R/NMB2M6R_mk.jpg
SHAPE/Cashmere & Wool,B2M6R,http://www.neimanmarcus.com/product_assets/B/2/M/6/R/NMB2M6R_mk.jpg
STYLE/Coats,T881S,http://www.neimanmarcus.com/product_assets/T/8/8/1/S/NMT881S_mk.jpg
SHAPE/Puffer,T881S,http://www.neimanmarcus.com/product_assets/T/8/8/1/S/NMT881S_mk.jpg
SHAPE/Puffer,T882D,http://www.neimanmarcus.com/product_assets/T/8/8/2/D/NMT882D_mk.jpg
SHAPE/Cashmere & Wool,T88YW,http://www.neimanmarcus.com/product_assets/T/8/8/Y/W/NMT88YW_mk.jpg
SHAPE/Fur & Fur Trim,B2MT5,http://www.neimanmarcus.com/product_assets/B/2/M/T/5/NMB2MT5_mk.jpg
SHAPE/Cashmere & Wool,B2MX5,http://www.neimanmarcus.com/product_assets/B/2/M/X/5/NMB2MX5_mk.jpg
SHAPE/Fur & Fur Trim,T8AN1,http://www.neimanmarcus.com/product_assets/T/8/A/N/1/NMT8AN1_mk.jpg
SHAPE/Fur & Fur Trim,B2NKU,http://www.neimanmarcus.com/product_assets/B/2/N/K/U/NMB2NKU_mk.jpg
SHAPE/Cashmere & Wool,B2NML,http://www.neimanmarcus.com/product_assets/B/2/N/M/L/NMB2NML_mk.jpg
SHAPE/Trench,B2NMM,http://www.neimanmarcus.com/product_assets/B/2/N/M/M/NMB2NMM_mk.jpg
SHAPE/Fur & Fur Trim,B2NMS,http://www.neimanmarcus.com/product_assets/B/2/N/M/S/NMB2NMS_mk.jpg
SHAPE/Cashmere & Wool,B2NTS,http://www.neimanmarcus.com/product_assets/B/2/N/T/S/NMB2NTS_mk.jpg
SHAPE/Fur & Fur Trim,B2NW9,http://www.neimanmarcus.com/product_assets/B/2/N/W/9/NMB2NW9_mk.jpg
SHAPE/Trench,T8GFZ,http://www.neimanmarcus.com/product_assets/T/8/G/F/Z/NMT8GFZ_mk.jpg
SHAPE/Quilted,B2PGB,http://www.neimanmarcus.com/product_assets/B/2/P/G/B/NMB2PGB_mk.jpg
SHAPE/Fur & Fur Trim,B2PGN,http://www.neimanmarcus.com/product_assets/B/2/P/G/N/NMB2PGN_mk.jpg
SHAPE/Puffer,B2PGL,http://www.neimanmarcus.com/product_assets/B/2/P/G/L/NMB2PGL_mk.jpg
SHAPE/Fur & Fur Trim,B2PH2,http://www.neimanmarcus.com/product_assets/B/2/P/H/2/NMB2PH2_mk.jpg
SHAPE/Trench,B2PJE,http://www.neimanmarcus.com/product_assets/B/2/P/J/E/NMB2PJE_mk.jpg
SHAPE/Trench,B2PJC,http://www.neimanmarcus.com/product_assets/B/2/P/J/C/NMB2PJC_mk.jpg
SHAPE/Cashmere & Wool,T8GW9,http://www.neimanmarcus.com/product_assets/T/8/G/W/9/NMT8GW9_mk.jpg
SHAPE/Trench,B2PJG,http://www.neimanmarcus.com/product_assets/B/2/P/J/G/NMB2PJG_mk.jpg
SHAPE/Trench,B2PJJ,http://www.neimanmarcus.com/product_assets/B/2/P/J/J/NMB2PJJ_mk.jpg
SHAPE/Fur & Fur Trim,B2PMM,http://www.neimanmarcus.com/product_assets/B/2/P/M/M/NMB2PMM_mk.jpg
SHAPE/Cashmere & Wool,T8H6Z,http://www.neimanmarcus.com/product_assets/T/8/H/6/Z/NMT8H6Z_mk.jpg
SHAPE/Quilted,T8EQH,http://www.neimanmarcus.com/product_assets/T/8/E/Q/H/NMT8EQH_mk.jpg
SHAPE/Quilted,T8EQJ,http://www.neimanmarcus.com/product_assets/T/8/E/Q/J/NMT8EQJ_mk.jpg
SHAPE/Quilted,T8EQG,http://www.neimanmarcus.com/product_assets/T/8/E/Q/G/NMT8EQG_mk.jpg
SHAPE/Fur & Fur Trim,B2PSM,http://www.neimanmarcus.com/product_assets/B/2/P/S/M/NMB2PSM_mk.jpg
SHAPE/Cashmere & Wool,B2PYD,http://www.neimanmarcus.com/product_assets/B/2/P/Y/D/NMB2PYD_mk.jpg
SHAPE/Cashmere & Wool,B2PZB,http://www.neimanmarcus.com/product_assets/B/2/P/Z/B/NMB2PZB_mk.jpg
SHAPE/Cashmere & Wool,T8JUD,http://www.neimanmarcus.com/product_assets/T/8/J/U/D/NMT8JUD_mk.jpg
SHAPE/Fur & Fur Trim,T8JWP,http://www.neimanmarcus.com/product_assets/T/8/J/W/P/NMT8JWP_mk.jpg
SHAPE/Fur & Fur Trim,T8K0N,http://www.neimanmarcus.com/product_assets/T/8/K/0/N/NMT8K0N_mk.jpg
SHAPE/Puffer,T8K2S,http://www.neimanmarcus.com/product_assets/T/8/L/G/7/NMT8LG7_mk.jpg
SHAPE/Puffer,T8KPW,http://www.neimanmarcus.com/product_assets/T/8/K/P/W/NMT8KPW_mk.jpg
SHAPE/Fur & Fur Trim,T8KPZ,http://www.neimanmarcus.com/product_assets/T/8/K/P/Z/NMT8KPZ_mk.jpg
SHAPE/Cashmere & Wool,T8KT5,http://www.neimanmarcus.com/product_assets/T/8/K/T/5/NMT8KT5_mk.jpg
SHAPE/Cashmere & Wool,T8KT6,http://www.neimanmarcus.com/product_assets/T/8/K/T/6/NMT8KT6_mk.jpg
SHAPE/Cashmere & Wool,T8KT7,http://www.neimanmarcus.com/product_assets/T/8/K/T/7/NMT8KT7_mk.jpg
SHAPE/Cashmere & Wool,B2QE5,http://www.neimanmarcus.com/product_assets/B/2/Q/E/5/NMB2QE5_mk.jpg
SHAPE/Fur & Fur Trim,T8NM8,http://www.neimanmarcus.com/product_assets/T/8/N/M/8/NMT8NM8_mk.jpg
SHAPE/Puffer,T8NMA,http://www.neimanmarcus.com/product_assets/T/8/N/M/A/NMT8NMA_mk.jpg
SHAPE/Cashmere & Wool,B2QPB,http://www.neimanmarcus.com/product_assets/B/2/Q/P/B/NMB2QPB_mk.jpg
SHAPE/Quilted,B2QPA,http://www.neimanmarcus.com/product_assets/B/2/Q/P/A/NMB2QPA_mk.jpg
SHAPE/Cashmere & Wool,B2R6D,http://www.neimanmarcus.com/product_assets/B/2/R/6/D/NMB2R6D_mk.jpg
SHAPE/Cashmere & Wool,T8TRU,http://www.neimanmarcus.com/product_assets/T/8/T/R/U/NMT8TRU_mk.jpg
SHAPE/Puffer,B2R9E,http://www.neimanmarcus.com/product_assets/B/2/R/9/E/NMB2R9E_mk.jpg
SHAPE/Trench,B2RA3,http://www.neimanmarcus.com/product_assets/B/2/R/A/3/NMB2RA3_mk.jpg
SHAPE/Puffer,B2RAN,http://www.neimanmarcus.com/product_assets/B/2/R/A/N/NMB2RAN_mk.jpg
SHAPE/Trench,B2RGP,http://www.neimanmarcus.com/product_assets/B/2/R/G/P/NMB2RGP_mk.jpg
SHAPE/Fur & Fur Trim,T8VTR,http://www.neimanmarcus.com/product_assets/T/8/V/T/R/NMT8VTR_mk.jpg
SHAPE/Cashmere & Wool,T8MXS,http://www.neimanmarcus.com/product_assets/T/8/M/X/S/NMT8MXS_mk.jpg
SHAPE/Cashmere & Wool,T8MYU,http://www.neimanmarcus.com/product_assets/T/8/M/Y/U/NMT8MYU_mk.jpg
SHAPE/Cashmere & Wool,T8WGH,http://www.neimanmarcus.com/product_assets/T/8/W/G/H/NMT8WGH_mk.jpg
SHAPE/Cashmere & Wool,T8WHC,http://www.neimanmarcus.com/product_assets/T/8/W/H/C/NMT8WHC_mk.jpg
SHAPE/Fur & Fur Trim,B2S2G,http://www.neimanmarcus.com/product_assets/B/2/S/2/G/NMB2S2G_mk.jpg
SHAPE/Trench,B2SH3,http://www.neimanmarcus.com/product_assets/B/2/S/H/3/NMB2SH3_mk.jpg
SHAPE/Fur & Fur Trim,B2T1V,http://www.neimanmarcus.com/product_assets/B/2/T/1/V/NMB2T1V_mk.jpg
SHAPE/Fur & Fur Trim,B2T1Q,http://www.neimanmarcus.com/product_assets/B/2/T/1/Q/NMB2T1Q_mk.jpg
SHAPE/Puffer,T916H,http://www.neimanmarcus.com/product_assets/T/9/1/6/H/NMT916H_mk.jpg
SHAPE/Fur & Fur Trim,T91CH,http://www.neimanmarcus.com/product_assets/T/9/1/C/H/NMT91CH_mk.jpg
SHAPE/Puffer,T91CQ,http://www.neimanmarcus.com/product_assets/T/9/1/C/Q/NMT91CQ_mk.jpg
SHAPE/Puffer,T91CS,http://www.neimanmarcus.com/product_assets/T/9/1/C/S/NMT91CS_mk.jpg
SHAPE/Puffer,T91CN,http://www.neimanmarcus.com/product_assets/T/9/1/C/N/NMT91CN_mk.jpg
SHAPE/Puffer,T91CV,http://www.neimanmarcus.com/product_assets/T/9/1/C/V/NMT91CV_mk.jpg
SHAPE/Fur & Fur Trim,T91CZ,http://www.neimanmarcus.com/product_assets/T/9/1/C/Z/NMT91CZ_mk.jpg
SHAPE/Trench,B2TH1,http://www.neimanmarcus.com/product_assets/B/2/T/H/1/NMB2TH1_mk.jpg
SHAPE/Fur & Fur Trim,T91UP,http://www.neimanmarcus.com/product_assets/T/9/1/U/P/NMT91UP_mk.jpg
SHAPE/Fur & Fur Trim,T91US,http://www.neimanmarcus.com/product_assets/T/9/1/U/S/NMT91US_mk.jpg
SHAPE/Fur & Fur Trim,B2TLD,http://www.neimanmarcus.com/product_assets/B/2/T/L/D/NMB2TLD_mk.jpg
