fqn,cmos_item,image_link
STYLE/Belts,B2JNM,http://www.neimanmarcus.com/product_assets/B/2/J/N/M/NMB2JNM_mk.jpg
SHAPE/Medium,B2JNM,http://www.neimanmarcus.com/product_assets/B/2/J/N/M/NMB2JNM_mk.jpg
STYLE/Belts,B2N42,http://www.neimanmarcus.com/product_assets/B/2/N/4/2/NMB2N42_mk.jpg
SHAPE/Wide,B2N42,http://www.neimanmarcus.com/product_assets/B/2/N/4/2/NMB2N42_mk.jpg
STYLE/Belts,B2SGR,http://www.neimanmarcus.com/product_assets/B/2/S/G/R/NMB2SGR_mk.jpg
SHAPE/Medium,B2SGR,http://www.neimanmarcus.com/product_assets/B/2/S/G/R/NMB2SGR_mk.jpg
STYLE/Belts,T953D,http://www.neimanmarcus.com/product_assets/T/9/5/3/D/NMT953D_mk.jpg
SHAPE/Medium,T953D,http://www.neimanmarcus.com/product_assets/T/9/5/3/D/NMT953D_mk.jpg
STYLE/Belts,T9W8L,http://www.neimanmarcus.com/product_assets/T/9/W/8/L/NMT9W8L_mk.jpg
SHAPE/Wide,T9W8L,http://www.neimanmarcus.com/product_assets/T/9/W/8/L/NMT9W8L_mk.jpg
STYLE/Belts,T9TEY,http://www.neimanmarcus.com/product_assets/T/9/T/E/Y/NMT9TEY_mk.jpg
SHAPE/Medium,T9TEY,http://www.neimanmarcus.com/product_assets/T/9/T/E/Y/NMT9TEY_mk.jpg
STYLE/Belts,T9TEZ,http://www.neimanmarcus.com/product_assets/T/9/T/E/Z/NMT9TEZ_mk.jpg
SHAPE/Medium,T9TEZ,http://www.neimanmarcus.com/product_assets/T/9/T/E/Z/NMT9TEZ_mk.jpg
STYLE/Belts,T9T2E,http://www.neimanmarcus.com/product_assets/T/9/T/2/E/NMT9T2E_mk.jpg
SHAPE/Medium,T9T2E,http://www.neimanmarcus.com/product_assets/T/9/T/2/E/NMT9T2E_mk.jpg
STYLE/Belts,T9T2D,http://www.neimanmarcus.com/product_assets/T/9/T/2/D/NMT9T2D_mk.jpg
SHAPE/Medium,T9T2D,http://www.neimanmarcus.com/product_assets/T/9/T/2/D/NMT9T2D_mk.jpg
STYLE/Belts,T9T31,http://www.neimanmarcus.com/product_assets/T/9/T/3/1/NMT9T31_mk.jpg
SHAPE/Wide,T9T31,http://www.neimanmarcus.com/product_assets/T/9/T/3/1/NMT9T31_mk.jpg
STYLE/Belts,T9SQ0,http://www.neimanmarcus.com/product_assets/T/9/S/Q/0/NMT9SQ0_mk.jpg
SHAPE/Wide,T9SQ0,http://www.neimanmarcus.com/product_assets/T/9/S/Q/0/NMT9SQ0_mk.jpg
STYLE/Belts,T9SPV,http://www.neimanmarcus.com/product_assets/T/9/S/P/V/NMT9SPV_mk.jpg
STYLE/Belts,T9RSK,http://www.neimanmarcus.com/product_assets/T/9/R/S/K/NMT9RSK_mk.jpg
SHAPE/Medium,T9RSK,http://www.neimanmarcus.com/product_assets/T/9/R/S/K/NMT9RSK_mk.jpg
STYLE/Belts,T9RS9,http://www.neimanmarcus.com/product_assets/T/9/R/S/9/NMT9RS9_mk.jpg
SHAPE/Wide,T9RS9,http://www.neimanmarcus.com/product_assets/T/9/R/S/9/NMT9RS9_mk.jpg
STYLE/Belts,B2RB1,http://www.neimanmarcus.com/product_assets/B/2/R/B/1/NMB2RB1_mk.jpg
STYLE/Belts,B2RB8,http://www.neimanmarcus.com/product_assets/B/2/R/B/8/NMB2RB8_mk.jpg
STYLE/Belts,B2RB3,http://www.neimanmarcus.com/product_assets/B/2/R/B/3/NMB2RB3_mk.jpg
STYLE/Belts,TACYF,http://www.neimanmarcus.com/product_assets/T/A/C/Y/F/NMTACYF_mk.jpg
SHAPE/Medium,TACYF,http://www.neimanmarcus.com/product_assets/T/A/C/Y/F/NMTACYF_mk.jpg
STYLE/Belts,TACYJ,http://www.neimanmarcus.com/product_assets/T/A/C/Y/J/NMTACYJ_mk.jpg
STYLE/Belts,TAFS0,http://www.neimanmarcus.com/product_assets/T/A/F/S/0/NMTAFS0_mk.jpg
STYLE/Belts,B2VS6,http://www.neimanmarcus.com/product_assets/B/2/V/S/6/NMB2VS6_mk.jpg
SHAPE/Wide,B2VS6,http://www.neimanmarcus.com/product_assets/B/2/V/S/6/NMB2VS6_mk.jpg
STYLE/Belts,B2W61,http://www.neimanmarcus.com/product_assets/B/2/W/6/1/NMB2W61_mk.jpg
STYLE/Belts,B2XHZ,http://www.neimanmarcus.com/product_assets/B/2/X/H/Z/NMB2XHZ_ak.jpg
STYLE/Belts,B2XQR,http://www.neimanmarcus.com/product_assets/B/2/X/Q/R/NMB2XQR_mk.jpg
STYLE/Belts,B2YUS,http://www.neimanmarcus.com/product_assets/B/2/Y/U/S/NMB2YUS_ak.jpg
STYLE/Belts,B2YUU,http://www.neimanmarcus.com/product_assets/B/2/Y/U/U/NMB2YUU_mk.jpg
STYLE/Belts,B2YUX,http://www.neimanmarcus.com/product_assets/B/2/Y/U/X/NMB2YUX_mk.jpg
